date,listed,otc,ratio,yoy
2019-05-17,7088173.0,1849398.0,26.091321416675356,1.8405157381964354
2019-05-31,7052940.0,1826294.0,25.894081049888417,-0.04208185626353167
2019-06-14,7137297.0,1816689.0,25.453459481929926,-1.824124551398676
2019-06-28,7155286.0,1795639.0,25.095279210362804,-4.366739580763213
2019-07-12,7346657.0,1777277.0,24.191642538912596,-8.56839195393655
2019-07-26,7456307.0,1792475.0,24.03971563939092,-9.730600205130301
2019-08-23,7251829.0,1776003.0,24.490414762951527,-4.019148148599527
2019-09-06,7254193.0,1823972.0,25.14369275810555,-2.4180773311508696
2019-09-20,7272087.0,1808436.0,24.8681843327782,-2.9535587045926515
2019-10-04,7542057.0,1794030.0,23.787011951779203,-7.02609917061806
2019-10-18,7595198.0,1806322.0,23.782421472093286,-6.501310171680153
2019-11-01,7558475.0,1836029.0,24.290997853402967,-2.596110430275622
2019-11-15,7472173.0,1844313.0,24.682418354071835,-0.4004628979790148
2019-11-29,7382148.0,1874554.0,25.39306987613903,5.0346019547562015
2019-12-13,7316519.0,1860483.0,25.428526871863514,4.9804942893076465
2019-12-27,7340419.0,1864884.0,25.405688694337474,3.9176628027234317
2020-01-10,7272800.0,1821972.0,25.051864481355185,0.7849440398855823
2020-01-31,6936672.0,1730890.0,24.952743909471288,-2.332736085855225
2020-02-07,6976492.0,1681014.0,24.095404968571597,-5.688437122523215
2020-02-21,6948224.0,1701241.0,24.484544539726986,-4.660101587795163
2020-03-06,6837578.0,1681354.0,24.589905957928377,-4.568935623344538
2020-03-20,5253370.0,1277611.0,24.319836600125253,-4.914904685532173
2020-03-31,5471770.0,1263461.0,23.09053560365293,-9.721195300952633
2020-04-17,5716924.0,1279208.0,22.375809088943637,-12.750315514622235
2020-04-30,5849345.0,1316542.0,22.50751152479466,-12.13676596320824
2020-05-15,6032193.0,1353556.0,22.438870904826818,-13.998718016306377
2020-05-29,6194104.0,1393263.0,22.493374344376523,-13.133143049023355
2020-06-12,6136351.0,1404003.0,22.88009600493844,-10.110073559228294
2020-06-29,6331602.0,1442454.0,22.78181730310907,-9.218713559076154
2020-07-10,6625473.0,1523821.0,22.99942962562824,-4.928201594276482
2020-07-24,6846849.0,1527382.0,22.307809037412685,-7.204355608684376
2020-07-29,6911028.0,1515993.0,21.935853826666595,-8.751608564275138
2020-08-07,7206620.0,1569581.0,21.7797108769437,-9.401129349234182
2020-08-21,7192377.0,1526785.0,21.227822178954188,-13.32191641332635
2020-08-28,7408080.0,1587474.0,21.428953251044806,-12.500651955221365
2020-09-04,7566247.0,1617949.0,21.38377190171032,-14.953733696030591
2020-09-18,7675596.0,1629208.0,21.22581751306348,-14.646693827638224
2020-10-16,7489315.0,1595079.0,21.298062639907656,-10.446197983249183
2020-10-27,7661092.0,1598367.0,20.86343565643122,-14.110421554755403
2020-10-30,7630289.0,1577480.0,20.673922049348327,-14.89060196655494
2020-11-13,7701632.0,1622257.0,21.063808294138177,-14.660678739110256
2020-11-26,7942795.0,1694262.0,21.330803577330144,-15.997539165699903
2020-11-27,7947183.0,1716732.0,21.601767569716213,-14.93046065290975
2020-12-11,8235042.0,1763611.0,21.41593206203441,-15.779894879671586
2020-12-25,8745031.0,1793962.0,20.514072505860756,-19.254019236908082
2021-01-08,8801354.0,1872887.0,21.2795326719048,-15.058088040744188
2021-01-22,8619738.0,1774131.0,20.582191709307175,-17.515317016920072
2021-01-25,8581745.0,1778632.0,20.72576148557199,-16.93995032864849
2021-02-05,8296787.0,1740600.0,20.979205564756572,-12.932753808784625
2021-02-19,8589154.0,1803374.0,20.995944420137302,-14.24817240904488
2021-02-24,8803201.0,1844000.0,20.94692601020924,-14.448373845704355
2021-03-05,8926661.0,1843117.0,20.647328267534746,-16.033317480510522
2021-03-19,9015534.0,1906987.0,21.15223568565101,-13.02476232286005
2021-03-26,9129703.0,1892247.0,20.72627116128531,-10.23910611234844
2021-04-16,9532594.0,1949433.0,20.450183863909448,-8.605835066700141
2021-05-14,8750321.0,1692396.0,19.34095903453142,-13.806006030495087
2021-05-25,8480449.0,1629065.0,19.2096550548208,-14.598606857653051
2021-05-28,8711705.0,1647033.0,18.905977647314735,-15.94868178574843
2021-06-11,9100800.0,1688076.0,18.54865506329114,-18.931043561672134
2021-06-24,9459720.0,1715338.0,18.13307370619849,-20.405499416748274
2021-06-25,9503676.0,1722363.0,18.12312414690905,-20.449172663518112
2021-07-09,9813975.0,1838666.0,18.735181208429815,-18.54067029752241
2021-07-23,9576331.0,1896044.0,19.79927385550896,-11.245098869622883
2021-08-06,9666053.0,1879981.0,19.44931400645124,-10.699852186557035
2021-08-20,8991079.0,1699819.0,18.905617445915002,-10.939439352104053
2021-08-23,9062070.0,1712400.0,18.896344874846477,-10.983120569095394
2021-09-03,9025521.0,1766411.0,19.571291230722306,-8.475963358190553
2021-09-17,9002214.0,1761905.0,19.571907532969114,-7.791973049219248
2021-09-22,8927635.0,1751095.0,19.614321150002212,-7.59215216125112
2021-10-01,8845202.0,1727147.0,19.526371472353034,-8.006504529988145
2021-10-15,8627906.0,1700511.0,19.70942891589222,-7.4590527358047165
2021-10-22,8718645.0,1731601.0,19.86089581580624,-4.805248076751656
2021-10-29,8793272.0,1781279.0,20.257294440567744,-2.0152325610307553
2021-11-12,9197000.0,1819010.0,19.77829727084919,-6.102937347975812
2021-11-26,9212234.0,1844715.0,20.024621606442043,-6.123454121889149
2021-12-10,9445535.0,1903748.0,20.155004454485635,-5.887801679125215
2021-12-21,9400934.0,1920027.0,20.423789806417105,-0.4401012983543784
2021-12-24,9427566.0,1939586.0,20.57356055635145,0.28998654691161363
2022-01-07,9309706.0,1924607.0,20.673123297341505,-2.8497306962193436
2022-01-20,9127529.0,1841529.0,20.175548059063956,-1.9757062609582765
2022-01-21,9012563.0,1813024.0,20.1166305300723,-2.261961144907376
2022-02-18,9008085.0,1801645.0,20.000310831880473,-4.742028119020514
2022-03-04,8931589.0,1775165.0,19.875130841779665,-3.7399387259670847
2022-03-18,8696629.0,1720132.0,19.779296092773418,-6.490754042651625
2022-03-21,8725005.0,1729087.0,19.817604689051755,-6.3096450721973785
2022-04-01,8781575.0,1747763.0,19.902614280467912,-3.9739752240427695
2022-04-15,8788855.0,1754582.0,19.963715410027813,-2.3787974578563853
2022-04-20,8819910.0,1767978.0,20.045306584761068,-1.9798221954517858
2022-04-29,8485801.0,1723555.0,20.311046653109116,-0.6803714417740858
2022-05-13,8135378.0,1700763.0,20.905764919589476,8.090632332472492
2022-05-20,8170272.0,1701587.0,20.826564892821196,8.417172684184248
2022-05-27,8234110.0,1715731.0,20.836872473163464,10.213144550728792
2022-06-10,8296251.0,1735540.0,20.919569574257096,12.782137049160692
2022-06-24,7582689.0,1646750.0,21.71722986397042,19.765850047511503
2022-07-08,7142653.0,1568140.0,21.954587462109668,17.18374761292032
2022-07-19,7296078.0,1579013.0,21.64194242440939,9.306748228989846
2022-07-22,7339201.0,1590091.0,21.665723557646125,9.426859367460306
2022-08-05,7402655.0,1618743.0,21.867059858928993,12.431008372201724
2022-08-18,7316964.0,1657744.0,22.656172696763303,19.838311346232686
2022-08-19,7349476.0,1664738.0,22.65111145338797,19.811540237646508
2022-09-02,7451022.0,1740156.0,23.354594846183517,19.33088405287393
2022-09-16,7434662.0,1742787.0,23.44137500803668,19.770517863674762
2022-09-30,6910733.0,1648594.0,23.855559171509015,22.170978900435156
2022-10-14,6739769.0,1583023.0,23.487793127627967,19.170338358658135
2022-10-17,6663061.0,1569729.0,23.558676710298766,19.529981364923255
2022-10-28,6667847.0,1552159.0,23.278263583432555,14.912994189465634
2022-11-11,6606322.0,1587852.0,24.035340693354033,21.523811500089085
2022-11-16,6738869.0,1596761.0,23.69479210828998,19.80198185823219
2022-11-25,6762519.0,1633203.0,24.15080830087132,20.60556636486881
2022-12-09,6908192.0,1673432.0,24.22387796980744,20.187906802552202
2022-12-16,6981181.0,1695443.0,24.285905207156212,18.909886154065482
2022-12-23,6934933.0,1682789.0,24.26539665199361,17.94456572322587
2023-01-06,6767859.0,1676183.0,24.766813256600056,19.80199073153588
2023-02-03,6391436.0,1638177.0,25.630812856453545,27.411063289839266
2023-02-14,6475427.0,1641008.0,25.342081688203727,26.708439189897383
2023-02-17,6540052.0,1652955.0,25.274340326346028,26.3697376445708
2023-03-03,6664859.0,1693736.0,25.41293071616369,27.862960593662976
2023-03-16,6822008.0,1678726.0,24.607505590729296,24.410421257204984
2023-03-17,6886535.0,1686155.0,24.48480984994631,23.790097155641977
2023-03-31,6867802.0,1726068.0,25.132757176167864,26.278672851700314
2023-04-14,7035815.0,1783242.0,25.34520876401668,26.956371814866344
2023-04-28,6987203.0,1786929.0,25.574310636173013,25.91330753631165
2023-05-12,7018803.0,1776835.0,25.31535647887539,21.092706132718277
2023-05-15,7047595.0,1778031.0,25.228904328355984,20.679173545645146
2023-05-26,7280159.0,1814237.0,24.92029363644393,19.59709245492407
2023-06-09,7389691.0,1876089.0,25.387922174283066,21.359677521876797
2023-06-14,7436339.0,1867065.0,25.10731423083321,20.01831176167892
2023-07-07,7552264.0,1896363.0,25.109861095957452,14.371819280564102
2023-07-14,7555581.0,1901792.0,25.17069170458235,16.305141243666622
2023-07-21,7634514.0,1921841.0,25.173062751604096,16.188424008208035
2023-08-04,7615104.0,1920925.0,25.225197187064026,15.357059201371337
2023-08-18,7358214.0,1855051.0,25.210614967164584,11.27481814598903
2023-09-01,7423325.0,1857383.0,25.020903705549735,7.134822377954952
2023-09-12,7484834.0,1860581.0,24.85801288311805,6.043322435632237
2023-09-15,7576849.0,1877872.0,24.784339769738054,5.7290357807123105
2023-10-12,7537290.0,1944978.0,25.804738838495002,9.864467463065662
2023-10-13,7572319.0,1951502.0,25.771523888520807,9.723053794298607
2023-10-27,7533534.0,1954023.0,25.937667501069217,11.424408474906155
2023-11-10,7525452.0,2017681.0,26.811426077795726,11.55001470484378
2023-11-24,7670385.0,2034281.0,26.52123719995802,9.815112063976672
2023-12-08,7844676.0,2120305.0,27.028586011710367,11.578278446575352
2023-12-11,7883493.0,2128828.0,27.003613753446597,11.475189014342835
2023-12-22,7969779.0,2135992.0,26.801144674149686,10.450057992139783
2024-01-05,8024554.0,2113702.0,26.34042963633867,6.353729740822689
2024-01-10,7981563.0,2086858.0,26.14598168303627,5.568614791685733
2024-01-19,7999719.0,2103938.0,26.300148792726347,6.1910893429847125
2024-02-02,7916365.0,2123036.0,26.818318761199112,4.63311839306948
2024-02-16,7866520.0,2145370.0,27.27216100639164,7.904541342125881
2024-03-01,8000937.0,2226872.0,27.83264010202805,9.521567633776783
2024-03-15,8245281.0,2180149.0,26.441172835710514,7.451658349605483
2024-03-29,8399127.0,2206889.0,26.275218841196235,4.54570764767388
2024-04-09,8549508.0,2256073.0,26.388337200222516,4.115682951827937
2024-04-12,8567921.0,2264805.0,26.43354204596424,4.294039524711679
2024-04-26,8395505.0,2237225.0,26.64789074629817,4.19788484388961
2024-05-09,8562862.0,2280289.0,26.629986562903852,5.19301430783905
2024-05-10,8602906.0,2275315.0,26.44821412671486,4.474982008587514
2024-05-24,8623993.0,2369790.0,27.479034363780215,10.267698947151782
2024-06-07,8844634.0,2374929.0,26.851636822959545,5.765397572232844
2024-06-21,8958901.0,2410375.0,26.904806739130166,7.159238506241872
2024-07-05,9155045.0,2468431.0,26.962521757129537,7.378219473585035
2024-07-08,9212230.0,2471186.0,26.825057559353166,6.8307684253651635
2024-07-19,9262317.0,2437208.0,26.313156848335034,4.529024171515594
2024-08-02,8880742.0,2379459.0,26.79347063567436,6.217090938795811
2024-08-07,8298590.0,2171077.0,26.161998604582227,3.7137526044736413
2024-08-16,8603253.0,2244374.0,26.087504342834045,3.4782546035134754
2024-08-30,9281227.0,2332681.0,25.133325582921312,0.4493118182083977
2024-09-06,9442906.0,2296392.0,24.318700196740284,-2.8064674125007683
2024-09-13,9640086.0,2319248.0,24.05837458296534,-3.216823098099586
2024-09-27,9201233.0,2405908.0,26.147669556895252,5.50077105068516
2024-10-11,9418727.0,2397071.0,25.450052857461525,-1.3744994020414736
2024-10-25,9612168.0,2471007.0,25.707072535561178,-0.8890350895990662
2024-11-05,9551071.0,2451161.0,25.66372922994709,-4.28062589628202
2024-11-08,9677902.0,2478801.0,25.612999594333562,-4.469834912864479
2024-11-22,9418692.0,2458005.0,26.09709501064479,-1.599254914525261
2024-12-05,9242093.0,2484487.0,26.88229819803804,-0.5412336909113469
2024-12-06,9219742.0,2483537.0,26.93716375143686,-0.33824285234120843
2024-12-20,8679661.0,2467385.0,28.42720470304082,6.0671290299757485
2025-01-03,8723745.0,2456963.0,28.164085493099584,6.9234096859416505
2025-01-17,8315430.0,2382849.0,28.655752017634683,8.956615582189432
2025-02-03,8149138.0,2339982.0,28.714472622748566,7.070368125733584
2025-02-14,8229788.0,2383753.0,28.964938100471116,6.206978221061199
2025-03-05,8264389.0,2407158.0,29.126871932093223,4.650050535345618
2025-03-14,8236645.0,2361117.0,28.66600418010003,8.414268755071008
2025-03-28,8082421.0,2364811.0,29.258696125826656,11.354719070703624
2025-04-11,6334107.0,1872863.0,29.567909099104263,11.857537093174253
