date,margin_ratio_pct
2015-10-19,157.443170
2015-10-20,157.778328
2015-10-21,157.068877
2015-10-22,157.899601
2015-10-23,157.534543
2015-10-26,159.756589
2015-10-27,158.796753
2015-10-28,158.197247
2015-10-29,155.827083
2015-10-30,155.782892
2015-11-02,157.265762
2015-11-03,158.130068
2015-11-04,159.934497
2015-11-05,162.471573
2015-11-06,159.711908
2015-11-09,157.692563
2015-11-10,156.720929
2015-11-11,152.719909
2015-11-12,152.640499
2015-11-13,151.317622
2015-11-16,150.673665
2015-11-17,153.351344
2015-11-18,152.452928
2015-11-19,154.346931
2015-11-20,154.675167
2015-11-23,155.067071
2015-11-24,152.563373
2015-11-25,151.935961
2015-11-26,153.723182
2015-11-27,152.668920
2015-11-30,151.178279
2015-12-01,153.737743
2015-12-02,154.238936
2015-12-03,154.509513
2015-12-04,154.261202
2015-12-07,154.635393
2015-12-08,152.362716
2015-12-09,149.246052
2015-12-10,149.126704
2015-12-11,145.802064
2015-12-14,144.809160
2015-12-15,147.083551
2015-12-16,148.850126
2015-12-17,151.699483
2015-12-18,151.628425
2015-12-21,153.157430
2015-12-22,152.558172
2015-12-23,152.442895
2015-12-24,151.497399
2015-12-25,152.931379
2015-12-28,152.148204
2015-12-29,151.346467
2015-12-30,150.760373
2015-12-31,151.481140
2016-01-04,148.498974
2016-01-05,147.980293
2016-01-06,145.928872
2016-01-07,142.809862
2016-01-08,145.774909
2016-01-11,142.772725
2016-01-12,140.424715
2016-01-13,141.960964
2016-01-14,140.348466
2016-01-15,140.104690
2016-01-18,144.295983
2016-01-19,146.169855
2016-01-20,142.244379
2016-01-21,142.031411
2016-01-22,142.922594
2016-01-25,145.574054
2016-01-26,144.803822
2016-01-27,144.321915
2016-01-28,145.570888
2016-01-29,148.225954
2016-01-30,150.344104
2016-02-01,149.080385
2016-02-02,148.836939
2016-02-03,147.029759
2016-02-15,147.357077
2016-02-16,150.202486
2016-02-17,150.083725
2016-02-18,151.562264
2016-02-19,151.678376
