date,open,high,low,close,volume
2024-08-05,257.78000000000003,257.78000000000003,237.52,237.52,0.0
2024-08-06,237.51999999999998,237.51999999999998,235.51,235.51,0.0
2024-08-07,235.51000000000002,247.83,235.51000000000002,247.83,0.0
2024-08-08,247.83,247.83,246.71,246.71,0.0
2024-08-09,246.71,252.27,246.71,252.27,0.0
2024-08-12,252.26999999999998,255.51,252.26999999999998,255.51,0.0
2024-08-13,255.51000000000002,256.99,255.51000000000002,256.99,0.0
2024-08-14,256.99,260.23,256.99,260.23,0.0
2024-08-15,260.23,262.25,260.23,262.25,0.0
2024-08-16,262.25,266.24,262.25,266.24,0.0
2024-08-19,266.24,268.88,266.24,268.88,0.0
2024-08-20,268.88,270.08,268.88,270.08,0.0
2024-08-21,270.08,270.08,268.38,268.38,0.0
2024-08-22,268.38,269.76,268.38,269.76,0.0
2024-08-23,269.76,271.68,269.76,271.68,0.0
2024-08-26,271.68,271.68,269.71,269.71,0.0
2024-08-27,269.71,272.43,269.71,272.43,0.0
2024-08-28,272.43,272.62,272.43,272.62,0.0
2024-08-29,272.62,273.32,272.62,273.32,0.0
2024-08-30,273.32,274.58,273.32,274.58,0.0
2024-09-02,274.58,274.58,272.56,272.56,0.0
2024-09-03,272.56,272.56,270.86,270.86,0.0
2024-09-04,270.86,270.86,262.06,262.06,0.0
2024-09-05,262.06,262.06,261.21,261.21,0.0
2024-09-06,261.21000000000004,261.8,261.21000000000004,261.8,0.0
2024-09-09,261.79999999999995,261.79999999999995,260.59,260.59,0.0
2024-09-10,260.59,260.59,256.0,256.0,0.0
2024-09-11,255.99999999999997,257.02,255.99999999999997,257.02,0.0
2024-09-12,257.02,262.12,257.02,262.12,0.0
2024-09-13,262.12,264.3,262.12,264.3,0.0
2024-09-16,264.3,265.08,264.3,265.08,0.0
2024-09-18,265.08,265.08,263.0,263.0,0.0
2024-09-19,263.0,267.76,263.0,267.76,0.0
2024-09-20,267.76,267.76,267.01,267.01,0.0
2024-09-23,267.01,267.37,267.01,267.37,0.0
2024-09-24,267.37,267.37,266.41,266.41,0.0
2024-09-25,266.41,270.18,266.41,270.18,0.0
2024-09-26,270.18,270.98,270.18,270.98,0.0
2024-09-27,270.97999999999996,270.97999999999996,270.34,270.34,0.0
2024-09-30,270.34,270.34,268.45,268.45,0.0
2024-10-01,268.45,270.28,268.45,270.28,0.0
2024-10-04,270.28000000000003,270.28000000000003,267.72,267.72,0.0
2024-10-07,267.71999999999997,271.02,267.71999999999997,271.02,0.0
2024-10-08,271.02,271.02,269.78,269.78,0.0
2024-10-09,269.78,269.78,267.95,267.95,0.0
2024-10-11,267.95,269.45,267.95,269.45,0.0
2024-10-14,269.45,270.26,269.45,270.26,0.0
2024-10-15,270.26,270.8,270.26,270.8,0.0
2024-10-16,270.8,270.8,270.37,270.37,0.0
2024-10-17,270.36999999999995,271.78,270.36999999999995,271.78,0.0
2024-10-18,271.78,271.78,268.69,268.69,0.0
2024-10-21,268.69,272.46,268.69,272.46,0.0
2024-10-22,272.46000000000004,273.55,272.46000000000004,273.55,0.0
2024-10-23,273.55,274.07,273.55,274.07,0.0
2024-10-24,274.07,274.07,270.23,270.23,0.0
2024-10-25,270.23,270.23,270.11,270.11,0.0
2024-10-28,270.11,270.11,266.99,266.99,0.0
2024-10-29,266.99,266.99,264.37,264.37,0.0
2024-10-30,264.37,264.37,264.22,264.22,0.0
2024-11-01,264.21999999999997,264.94,264.21999999999997,264.94,0.0
2024-11-04,264.94,264.94,263.94,263.94,0.0
2024-11-05,263.94,263.94,263.74,263.74,0.0
2024-11-06,263.73999999999995,265.09,263.73999999999995,265.09,0.0
2024-11-07,265.09,267.58,265.09,267.58,0.0
2024-11-08,267.58,267.58,266.53,266.53,0.0
2024-11-11,266.53000000000003,266.53000000000003,265.55,265.55,0.0
2024-11-12,265.54999999999995,265.54999999999995,260.46,260.46,0.0
2024-11-13,260.46,260.46,260.03,260.03,0.0
2024-11-14,260.03000000000003,260.03000000000003,256.17,256.17,0.0
2024-11-15,256.17,256.45,256.17,256.45,0.0
2024-11-18,256.45,256.45,251.78,251.78,0.0
2024-11-19,251.78000000000003,256.29,251.78000000000003,256.29,0.0
2024-11-20,256.29,256.29,255.82,255.82,0.0
2024-11-21,255.82,257.95,255.82,257.95,0.0
2024-11-22,257.95,259.58,257.95,259.58,0.0
2024-11-25,259.58,261.8,259.58,261.8,0.0
2024-11-26,261.8,261.8,259.72,259.72,0.0
2024-11-27,259.72,259.72,255.4,255.4,0.0
2024-11-28,255.4,255.4,252.82,252.82,0.0
2024-11-29,252.82000000000002,256.72,252.82000000000002,256.72,0.0
2024-12-02,256.71999999999997,257.84,256.71999999999997,257.84,0.0
2024-12-03,257.84000000000003,259.11,257.84000000000003,259.11,0.0
2024-12-04,259.11,262.6,259.11,262.6,0.0
2024-12-05,262.59999999999997,263.39,262.59999999999997,263.39,0.0
2024-12-06,263.39,263.39,261.52,261.52,0.0
2024-12-09,261.52000000000004,261.52000000000004,260.47,260.47,0.0
2024-12-10,260.46999999999997,260.46999999999997,258.21,258.21,0.0
2024-12-11,258.21,258.21,257.78,257.78,0.0
2024-12-12,257.78,257.78,257.38,257.38,0.0
2024-12-13,257.38,257.38,255.29,255.29,0.0
2024-12-16,255.29,255.29,250.1,250.1,0.0
2024-12-17,250.10000000000002,253.83,250.10000000000002,253.83,0.0
2024-12-18,253.83,255.12,253.83,255.12,0.0
2024-12-19,255.11999999999998,255.11999999999998,254.73,254.73,0.0
2024-12-20,254.73,254.73,252.39,252.39,0.0
2024-12-23,252.39000000000001,254.18,252.39000000000001,254.18,0.0
2024-12-24,254.18,255.3,254.18,255.3,0.0
2024-12-25,255.3,256.41,255.3,256.41,0.0
2024-12-26,256.41,257.18,256.41,257.18,0.0
2024-12-27,257.18,257.18,256.1,256.1,0.0
2024-12-30,256.09999999999997,256.09999999999997,254.32,254.32,0.0
2024-12-31,254.32,255.84,254.32,255.84,0.0
2025-01-02,255.84,255.84,252.69,252.69,0.0
2025-01-03,252.69,252.69,252.35,252.35,0.0
2025-01-06,252.35,255.31,252.35,255.31,0.0
